epoch,loss,loss_ir,loss_vi,loss_ssim,loss_gra
2,8.659102,0.21161415,0.24864118,7.6886964,0.5101512
4,6.0753636,0.10030364,0.17113735,5.730042,0.073880784
6,4.3228364,0.04068622,0.08805033,4.00258,0.19151965
8,3.024099,0.026069306,0.07985957,2.895183,0.022987183
10,3.6751246,0.03716043,0.061247874,3.5640419,0.012674532
12,2.5796003,0.01835644,0.052716017,2.3579235,0.15060417
14,2.2406983,0.031754635,0.03935857,2.1630259,0.006559305
16,1.5512589,0.012417298,0.05830056,1.4031225,0.07741852
18,2.2522964,0.015751015,0.048713844,2.0986497,0.08918195
20,1.1285434,0.011661081,0.049837884,1.0308641,0.03618024
22,1.8234288,0.012920191,0.04774918,1.760807,0.0019522486
24,1.6605337,0.011980562,0.044465743,1.5863818,0.017705502
26,1.8420649,0.01171036,0.04307016,1.692183,0.0951014
28,1.6250868,0.006857564,0.051350016,1.5648866,0.001992588
30,1.2949584,0.009422097,0.05611491,1.1149698,0.11445158
32,1.3055692,0.0115225045,0.045546018,1.2279272,0.020573545
34,1.1538267,0.008488024,0.049059305,1.0348511,0.061428316
36,1.6395787,0.008611904,0.04168313,1.4478242,0.14145947
38,1.1460793,0.009099904,0.055335503,1.0260606,0.05558338
40,1.3290865,0.006866206,0.051014848,1.2071353,0.06407025
42,1.3465744,0.007545334,0.047842946,1.2002224,0.09096371
44,1.4607354,0.007739104,0.05504861,1.3438427,0.054104965
46,1.3318651,0.012807783,0.0464793,1.1945301,0.07804789
48,1.0073195,0.007557932,0.050820164,0.9447938,0.0041475846
50,1.6467415,0.016428046,0.045250557,1.5254253,0.05963758
52,1.0195615,0.0059461347,0.04781709,0.9253466,0.040451653
54,1.1195974,0.006502838,0.056648806,1.0561186,0.00032718235
56,0.91743875,0.0046073967,0.056768075,0.8283812,0.027682083
58,1.4535582,0.00850193,0.051717214,1.2176907,0.17564832
60,1.456758,0.012463313,0.05148026,1.3035119,0.08930254
