epoch,loss,loss_ir,loss_vi,loss_ssim,loss_gra
2,4.6126814,1.3546252,1.2299815,1.9059038,0.12217073
4,4.024901,0.6837998,0.5781173,1.830247,0.9327368
6,3.137907,0.37610877,0.36611646,2.206428,0.18925393
8,3.075348,0.27755195,0.28489718,2.1484897,0.3644089
10,1.7356083,0.1469396,0.16925386,1.3627155,0.056699365
12,1.8512256,0.1498735,0.16619913,1.4240961,0.11105684
14,2.0319118,0.111542895,0.13800777,1.2617,0.5206611
16,1.426949,0.11517929,0.12783559,1.1736012,0.010333024
18,1.3084766,0.061789397,0.10408864,0.8383162,0.3042823
20,0.9202533,0.047640406,0.09446648,0.7769978,0.001148554
22,1.558831334,0.05873976,0.08566044,1.3670568,0.047374237
24,0.961281776,0.029168922,0.1031186,0.7556267,0.07336761
26,1.050343752,0.031965554,0.07887621,0.76465225,0.17484976
28,0.895567954,0.020563142,0.062999494,0.63347673,0.17852859
30,0.652992845,0.017100882,0.079455175,0.54971385,0.006722933
32,0.634128571,0.01567559,0.072894715,0.47707582,0.06848243
34,0.747440934,0.019470945,0.056255314,0.5281515,0.14356318
36,0.607307255,0.019722564,0.058152374,0.48139465,0.048037637
38,0.53507781,0.012908046,0.058234874,0.42085695,0.043077953
40,0.579026461,0.010209424,0.06682421,0.35184968,0.15014312
42,0.742482603,0.018094534,0.07007495,0.593518,0.060795147
44,0.412123561,0.008748379,0.05697938,0.32061434,0.025781447
46,0.516283333,0.00883257,0.0637516,0.35962725,0.08407196
48,0.632524848,0.010371449,0.041825395,0.5068486,0.073479444
50,0.475390911,0.0122081,0.07676983,0.34157193,0.044841062
52,0.473890126,0.007748216,0.07156342,0.2875346,0.10704389
54,0.458408117,0.006541678,0.04933257,0.31046653,0.09206732
56,0.497386038,0.004925774,0.0740645,0.33105445,0.08734129
58,0.311722338,0.003603138,0.058415886,0.23323298,0.016470358
60,0.416497052,0.00561273,0.04740289,0.24408042,0.119401
